id_mensaje,mensaje
1,"Profe, la vdd no entiendo nada de los arboles AVL, creo q voy a perder la materia :("
2,"chuta panas, ando a full con los labs de redes y NO DUERMO desde el martes"
3,"alguien sabe dond pedir AYUDA URGENTE para calculo? ya no jalo"
4,"se me daño el wifi y no tengo internet para subir la prueba de conmutacion!!"
5,"NO CONOZCO a nadie en este paralelo, es mi primera vez tomando esta clase"
6,"sincerament ya no quiero seguir programando, me da ansiedad los bugs"
7,"estoy pensando seriamente en DEJAR LA CARRERA, no me da el tiempo"
8,"Hola, q tal el inge de bases de datos? califica suave?"
9,"alguien de la poli q vaya al sur mas tarde?"
10,"toy a full loco... demasiados deberes, estoy estresado"
11,"ayuda x favor, necesito tutoria de fisica, me quede en el suple"
12,"esta lloviendo full por la floresta, llego tard"
13,"la plena q me retiro del semestre, nos vemos el otro año bro"
14,"Me Siento Solo en la u, todos mis panas ya se graduaron"
15,"no puedo abrir el packet tracer, estoy sin compu hasta el viernes"
16,"todo el dia codeando en java y perdi las ganas d vivir jaja"
17,"Pase el semestre!!! vamos a las bielas"
18,"inge diculpe estoy reprobando y keria saber si manda trabajito extra"
19,"dond es el lab de electronica?? toy perdido"
20,"bro prestame tu deber, no entiendo ni mergas de esta topologia"
21,"necesito q alguien m pase apuntes, no duermo pensando en el examen d algoritmos"
22,"profe se fue la luz, me quede sin compu en medio de la prueba"
23,"Alguien para jugar unas rankeds de zomboid hoy en la noche?"
24,"la firme q me retiro, es demasiada presion wey"
25,"no le cacho a este man, necesito tutoria asapp"
26,"estoy deprimido, yA NO QUIERO ir a clases practicas"
27,"holaa, soy nuevo de intercambio y NO CONOZCO A NADIE para el trabajo en grupo"
28,"q hpta calor q hace en los cursos nuevos"
29,"mañana hay huelga no? para no ir a la u"
30,"si no paso estructura de datos me retiro, en serio"
